57.6	0.0774 ± 0.0018
72.6	0.06917 ± 0.0008
87.6	0.0602 ± 0.0011
102.6	0.05393 ± 0.00085
117.6	0.04886 ± 0.0007
132.6	0.04468 ± 0.00091
147.6	0.04059 ± 0.00084
162.6	0.03692 ± 0.00064
177.6	0.03418 ± 0.00072
192.6	0.03044 ± 0.00092
202.6	0.03049 ± 0.00061
222.6	0.02696 ± 0.0007
237.6	0.02498 ± 0.00071
252.6	0.02335 ± 0.00049
267.6	0.02193 ± 0.00077
282.6	0.02028 ± 0.00038
297.6	0.01858 ± 0.00034
312.6	0.01768 ± 0.00035
327.6	0.0164 ± 0.0023
342.6	0.01558 ± 0.00032
357.6	0.01492 ± 0.00043
372.6	0.01351 ± 0.00026
387.6	0.01358 ± 0.00047
402.6	0.01191 ± 0.00026
