78	0.0731 ± 0.00025
103	0.06073 ± 0.00022
128	0.05175 ± 0.00025
153	0.0455 ± 0.00023
178	0.04054 ± 0.0002
203	0.034714 ± 0.000042
223	0.030936406380396745 ± 0.000046630555809197867
243	0.02805686834155376 ± 0.000047018931862790595
263	0.025557085400697507 ± 0.00004589244497170534
283	0.02350493276282793 ± 0.00004826816669891021
303	0.021530956268877712 ± 0.000050815922479360064
323	0.020019343234087807 ± 0.000056911176417975366
343	0.01824981743502117 ± 0.000043036051657006505
363	0.01688491759676773 ± 0.00004354203354579331
383	0.01641942408303167 ± 0.00004419880862633881
403	0.015038 ± 0.000046
