33	0.15228454063010408 ± 0.0004896667455966359
63	0.1156807145897819 ± 0.0004248081265539632
93	0.09269131929258939 ± 0.00038230814249226087
123	0.07807759917362861 ± 0.00035041530888763934
153	0.06497356855106785 ± 0.00031911468458845234
183	0.05699871792779413 ± 0.0003013025984931049
223	0.04580284388227257 ± 0.00026619033416473757
253	0.04024237670074975 ± 0.00025325148482766615
283	0.03492870058824876 ± 0.0002328027300083904
313	0.030298125675119365 ± 0.00021562202691683747
343	0.028063824616511846 ± 0.00021132267396880653
373	0.023945221206281522 ± 0.0001944274777555607
403	0.020894464625165175 ± 0.00017963152785421282
