78	{0.0731, 0.00025}
103	{0.06073, 0.00022}
128	{0.05175, 0.00025}
153	{0.0455, 0.00023}
178	{0.04054, 0.0002}
203	{0.034198, 0.000041}
223	{0.03078265088621393, 0.00004777441937850067}
243	{0.027808632863988117, 0.00004639466842588734}
263	{0.0252419725191833, 0.000045326601866044646}
283	{0.0230268731901405, 0.00004671430301590948}
303	{0.02111518080456349, 0.00004983463704551469}
323	{0.019465337057532804, 0.00005517477782043479}
343	{0.01804147597499014, 0.000042544748449831094}
363	{0.01681264422287521, 0.000042520597427605494}
383	{0.01575212821220561, 0.00004494066831280064}
403	{0.014836873372028459, 0.00004}
